Date,Value
2013/12/31,13.72
2014/1/2,14.23
2014/1/3,13.76
2014/1/6,13.55
2014/1/7,12.92
2014/1/8,12.87
2014/1/9,12.89
2014/1/10,12.14
2014/1/13,13.28
2014/1/14,12.28
2014/1/15,12.28
2014/1/16,12.53
2014/1/17,12.44
2014/1/21,12.87
2014/1/22,12.84
2014/1/23,13.77
2014/1/24,18.139999
2014/1/27,17.42
2014/1/28,15.8
2014/1/29,17.35
2014/1/30,17.290001
2014/1/31,18.41
2014/2/3,21.440001
2014/2/4,19.110001
2014/2/5,19.950001
2014/2/6,17.23
2014/2/7,15.29
2014/2/10,15.26
2014/2/11,14.51
2014/2/12,14.3
2014/2/13,14.14
2014/2/14,13.57
2014/2/18,13.87
2014/2/19,15.5
2014/2/20,14.79
2014/2/21,14.68
2014/2/24,14.23
2014/2/25,13.67
2014/2/26,14.35
2014/2/27,14.04
2014/2/28,14
2014/3/3,16
2014/3/4,14.1
2014/3/5,13.89
2014/3/6,14.21
2014/3/7,14.11
2014/3/10,14.2
2014/3/11,14.8
2014/3/12,14.47
2014/3/13,16.219999
2014/3/14,17.82
2014/3/17,15.64
2014/3/18,14.52
2014/3/19,15.12
2014/3/20,14.52
2014/3/21,15
2014/3/24,15.09
2014/3/25,14.02
2014/3/26,14.93
2014/3/27,14.62
2014/3/28,14.41
2014/3/31,13.88
2014/4/1,13.1
2014/4/2,13.09
2014/4/3,13.37
2014/4/4,13.96
2014/4/7,15.57
2014/4/8,14.89
2014/4/9,13.82
2014/4/10,15.89
2014/4/11,17.030001
2014/4/14,16.110001
2014/4/15,15.61
2014/4/16,14.18
2014/4/17,13.36
2014/4/21,13.25
2014/4/22,13.19
2014/4/23,13.27
2014/4/24,13.32
2014/4/25,14.06
2014/4/28,13.97
2014/4/29,13.71
2014/4/30,13.41
2014/5/1,13.25
2014/5/2,12.91
2014/5/5,13.29
2014/5/6,13.8
2014/5/7,13.4
2014/5/8,13.43
2014/5/9,12.92
2014/5/12,12.23
2014/5/13,12.13
2014/5/14,12.17
2014/5/15,13.17
2014/5/16,12.44
2014/5/19,12.42
2014/5/20,12.96
2014/5/21,11.91
2014/5/22,12.03
2014/5/23,11.36
2014/5/27,11.51
2014/5/28,11.68
2014/5/29,11.57
2014/5/30,11.4
2014/6/2,11.58
2014/6/3,11.87
2014/6/4,12.08
2014/6/5,11.68
2014/6/6,10.73
2014/6/9,11.15
2014/6/10,10.99
2014/6/11,11.6
2014/6/12,12.56
2014/6/13,12.18
2014/6/16,12.65
2014/6/17,12.06
2014/6/18,10.61
2014/6/19,10.62
2014/6/20,10.85
2014/6/23,10.98
2014/6/24,12.13
2014/6/25,11.59
2014/6/26,11.63
2014/6/27,11.26
2014/6/30,11.57
2014/7/1,11.15
2014/7/2,10.82
2014/7/3,10.32
2014/7/7,11.33
2014/7/8,11.98
2014/7/9,11.65
2014/7/10,12.59
2014/7/11,12.08
2014/7/14,11.82
2014/7/15,11.96
2014/7/16,11
2014/7/17,14.54
2014/7/18,12.06
2014/7/21,12.81
2014/7/22,12.24
2014/7/23,11.52
2014/7/24,11.84
2014/7/25,12.69
2014/7/28,12.56
2014/7/29,13.28
2014/7/30,13.33
2014/7/31,16.950001
2014/8/1,17.030001
2014/8/4,15.12
2014/8/5,16.870001
2014/8/6,16.370001
2014/8/7,16.66
2014/8/8,15.77
2014/8/11,14.23
2014/8/12,14.13
2014/8/13,12.9
2014/8/14,12.42
2014/8/15,13.15
2014/8/18,12.32
2014/8/19,12.21
2014/8/20,11.78
2014/8/21,11.76
2014/8/22,11.47
2014/8/25,11.7
2014/8/26,11.63
2014/8/27,11.78
2014/8/28,12.05
2014/8/29,12.09
2014/9/2,12.25
2014/9/3,12.36
2014/9/4,12.64
2014/9/5,12.09
2014/9/8,12.66
2014/9/9,13.5
2014/9/10,12.88
2014/9/11,12.8
2014/9/12,13.31
2014/9/15,14.12
2014/9/16,12.73
2014/9/17,12.65
2014/9/18,12.03
2014/9/19,12.11
2014/9/22,13.69
2014/9/23,14.93
2014/9/24,13.27
2014/9/25,15.64
2014/9/26,14.85
2014/9/29,15.98
2014/9/30,16.309999
2014/10/1,16.709999
2014/10/2,16.16
2014/10/3,14.55
2014/10/6,15.46
2014/10/7,17.200001
2014/10/8,15.11
2014/10/9,18.76
2014/10/10,21.24
2014/10/13,24.639999
2014/10/14,22.790001
2014/10/15,25.27
2014/10/16,25.200001
2014/10/17,21.99
2014/10/20,18.57
2014/10/21,16.08
2014/10/22,17.870001
2014/10/23,16.530001
2014/10/24,16.110001
2014/10/27,16.040001
2014/10/28,14.39
2014/10/29,15.15
2014/10/30,14.52
2014/10/31,14.03
2014/11/3,14.73
2014/11/4,14.89
2014/11/5,14.17
2014/11/6,13.67
2014/11/7,13.12
2014/11/10,12.67
2014/11/11,12.92
2014/11/12,13.02
2014/11/13,13.79
2014/11/14,13.31
2014/11/17,13.99
2014/11/18,13.86
2014/11/19,13.96
2014/11/20,13.58
2014/11/21,12.9
2014/11/24,12.62
2014/11/25,12.25
2014/11/26,12.07
2014/11/28,13.33
2014/12/1,14.16
2014/12/2,12.85
2014/12/3,12.5
2014/12/4,12.38
2014/12/5,11.89
2014/12/8,14.21
2014/12/9,15.35
2014/12/10,18.530001
2014/12/11,20.08
2014/12/12,21.08
2014/12/15,20.42
2014/12/16,23.57
2014/12/17,19.440001
2014/12/18,16.809999
2014/12/19,16.49
2014/12/22,15.25
2014/12/23,14.8
2014/12/24,14.37
2014/12/26,14.5
2014/12/29,15.06
2014/12/30,15.92
2014/12/31,19.200001
2015/1/2,17.790001
2015/1/5,19.92
2015/1/6,21.120001
2015/1/7,19.309999
2015/1/8,17.01
2015/1/9,17.549999
2015/1/12,19.6
2015/1/13,20.559999
2015/1/14,21.48
2015/1/15,22.389999
2015/1/16,20.950001
2015/1/20,19.889999
2015/1/21,18.85
2015/1/22,16.4
2015/1/23,16.66
2015/1/26,15.52
2015/1/27,17.219999
2015/1/28,20.440001
2015/1/29,18.76
2015/1/30,20.969999
2015/2/2,19.43
2015/2/3,17.33
2015/2/4,18.33
2015/2/5,16.85
2015/2/6,17.290001
2015/2/9,18.549999
2015/2/10,17.23
2015/2/11,16.959999
2015/2/12,15.34
2015/2/13,14.69
2015/2/17,15.8
2015/2/18,15.45
2015/2/19,15.29
2015/2/20,14.3
2015/2/23,14.56
2015/2/24,13.69
2015/2/25,13.84
2015/2/26,13.91
2015/2/27,13.34
2015/3/2,13.04
2015/3/3,13.86
2015/3/4,14.23
2015/3/5,14.04
2015/3/6,15.2
2015/3/9,15.06
2015/3/10,16.690001
2015/3/11,16.870001
2015/3/12,15.42
2015/3/13,16
2015/3/16,15.61
2015/3/17,15.66
2015/3/18,13.97
2015/3/19,14.07
2015/3/20,13.02
2015/3/23,13.41
2015/3/24,13.62
2015/3/25,15.44
2015/3/26,15.8
2015/3/27,15.07
2015/3/30,14.51
2015/3/31,15.29
2015/4/1,15.11
2015/4/2,14.67
2015/4/6,14.74
2015/4/7,14.78
2015/4/8,13.98
2015/4/9,13.09
2015/4/10,12.58
2015/4/13,13.94
2015/4/14,13.67
2015/4/15,12.84
2015/4/16,12.6
2015/4/17,13.89
2015/4/20,13.3
2015/4/21,13.25
2015/4/22,12.71
2015/4/23,12.48
2015/4/24,12.29
2015/4/27,13.12
2015/4/28,12.41
2015/4/29,13.39
2015/4/30,14.55
2015/5/1,12.7
2015/5/4,12.85
2015/5/5,14.31
2015/5/6,15.15
2015/5/7,15.13
2015/5/8,12.86
2015/5/11,13.85
2015/5/12,13.86
2015/5/13,13.76
2015/5/14,12.74
2015/5/15,12.38
2015/5/18,12.73
2015/5/19,12.85
2015/5/20,12.88
2015/5/21,12.11
2015/5/22,12.13
2015/5/26,14.06
2015/5/27,13.27
2015/5/28,13.31
2015/5/29,13.84
2015/6/1,13.97
2015/6/2,14.24
2015/6/3,13.66
2015/6/4,14.71
2015/6/5,14.21
2015/6/8,15.29
2015/6/9,14.47
2015/6/10,13.22
2015/6/11,12.85
2015/6/12,13.78
2015/6/15,15.39
2015/6/16,14.81
2015/6/17,14.5
2015/6/18,13.19
2015/6/19,13.96
2015/6/22,12.74
2015/6/23,12.11
2015/6/24,13.26
2015/6/25,14.01
2015/6/26,14.02
2015/6/29,18.85
2015/6/30,18.23
2015/7/1,16.09
2015/7/2,16.790001
2015/7/6,17.01
2015/7/7,16.09
2015/7/8,19.66
2015/7/9,19.969999
2015/7/10,16.83
2015/7/13,13.9
2015/7/14,13.37
2015/7/15,13.23
2015/7/16,12.11
2015/7/17,11.95
2015/7/20,12.25
2015/7/21,12.22
2015/7/22,12.12
2015/7/23,12.64
2015/7/24,13.74
2015/7/27,15.6
2015/7/28,13.44
2015/7/29,12.5
2015/7/30,12.13
2015/7/31,12.12
2015/8/3,12.56
2015/8/4,13
2015/8/5,12.51
2015/8/6,13.77
2015/8/7,13.39
2015/8/10,12.23
2015/8/11,13.71
2015/8/12,13.61
2015/8/13,13.49
2015/8/14,12.83
2015/8/17,13.02
2015/8/18,13.79
2015/8/19,15.25
2015/8/20,19.139999
2015/8/21,28.030001
2015/8/24,40.740002
2015/8/25,36.02
2015/8/26,30.32
2015/8/27,26.1
2015/8/28,26.049999
2015/8/31,28.43
2015/9/1,31.4
2015/9/2,26.09
2015/9/3,25.610001
2015/9/4,27.799999
2015/9/8,24.9
2015/9/9,26.23
2015/9/10,24.370001
2015/9/11,23.200001
2015/9/14,24.25
2015/9/15,22.540001
2015/9/16,21.35
2015/9/17,21.139999
2015/9/18,22.280001
2015/9/21,20.139999
