appID,app_include_containers
app_5451,14
app_4287,2
app_6056,48
app_518,1
app_2117,1
app_6696,1
app_51,2
app_9238,7
app_2366,1
app_4401,3
app_1701,22
app_5464,5
app_484,133
app_2042,1
app_3493,2
app_7321,66
app_5733,10
app_3189,1
app_4123,5
app_9723,17
app_1945,3
app_5244,7
app_5745,72
app_4056,17
app_7356,7
app_7807,52
app_2177,22
app_8659,3
app_7300,2
app_1531,1
app_8134,19
app_971,2
app_8761,3
app_507,2
app_9492,3
app_1024,10
app_5654,2
app_1737,21
app_7364,4
app_1211,79
app_2368,5
app_7279,2
app_6321,24
app_8468,3
app_5810,5
app_200,58
app_9101,3
app_9391,2
app_9069,2
app_9035,1
app_5262,46
app_6681,28
app_9001,61
app_2488,41
app_4051,2
app_5890,2
app_7767,10
app_6943,2
app_4113,21
app_2355,1
app_4674,30
app_6622,5
app_7581,2
app_3601,7
app_8414,2
app_2873,5
app_2051,34
app_3472,95
app_4812,98
app_7140,7
app_9058,2
app_4786,4
app_6831,5
app_1400,15
app_9204,34
app_4227,2
app_3026,34
app_5788,11
app_2364,3
app_2819,139
app_3071,11
app_6089,12
app_6912,6
app_93,12
app_2215,19
app_721,33
app_5835,1
app_2662,2
app_4668,13
app_5178,2
app_6427,5
app_8254,5
app_9564,22
app_4304,6
app_3989,4
app_4169,4
app_9150,68
app_4880,5
app_9532,3
app_6309,18
app_6391,3
app_80,7
app_4074,6
app_8669,1
app_5705,54
app_617,53
app_506,19
app_3044,3
app_9340,30
app_5884,69
app_3383,3
app_6264,4
app_4371,78
app_864,2
app_2216,1
app_5813,2
app_8481,37
app_3116,42
app_1216,15
app_6581,3
app_7543,16
app_3349,17
app_8524,1
app_2104,6
app_6661,2
app_2589,11
app_3682,10
app_4738,17
app_1103,17
app_7700,56
app_759,10
app_3728,2
app_4432,2
app_1289,2
app_4492,49
app_8645,4
app_2967,1
app_6231,2
app_98,2
app_3946,11
app_1220,3
app_2403,25
app_7277,9
app_7745,20
app_7887,7
app_6776,5
app_3066,5
app_6114,11
app_147,18
app_5245,14
app_2374,2
app_5481,10
app_4455,2
app_7337,10
app_3102,9
app_8875,12
app_8492,91
app_2812,2
app_3641,155
app_4510,2
app_6904,1
app_3155,21
app_8334,1
app_1390,1
app_7339,3
app_425,8
app_2497,160
app_7391,2
app_571,17
app_2087,7
app_8061,6
app_521,84
app_364,2
app_2357,17
app_811,2
app_4879,2
app_5692,1
app_1812,4
app_2013,2
app_5779,18
app_1003,3
app_3224,20
app_8823,5
app_5524,8
app_8374,9
app_2903,51
app_8535,1
app_3875,8
app_4584,36
app_8549,3
app_5039,3
app_3883,2
app_8625,2
app_3810,5
app_5657,232
app_2260,16
app_7003,6
app_7621,2
app_907,11
app_491,35
app_7472,9
app_5632,3
app_6839,1
app_2039,2
app_958,13
app_6217,99
app_6471,3
app_5002,2
app_3887,2
app_411,10
app_1844,48
app_7052,2
app_2235,2
app_7732,35
app_5611,27
app_5042,14
app_5727,7
app_8021,3
app_9759,10
app_2701,22
app_4095,7
app_6730,2
app_3824,26
app_2332,66
app_3303,10
app_7026,32
app_8973,14
app_4644,21
app_6212,6
app_4296,10
app_7896,16
app_2997,21
app_6774,8
app_9648,14
app_9298,4
app_223,5
app_1439,28
app_7791,63
app_5887,36
app_5,2
app_3248,10
app_3602,3
app_3074,7
app_8573,32
app_9195,15
app_1974,3
app_7996,18
app_747,7
app_2118,1
app_3732,4
app_6475,17
app_8159,3
app_9421,1
app_3900,6
app_583,19
app_3613,27
app_3852,5
app_2459,19
app_1221,1
app_4922,5
app_4852,2
app_9528,2
app_7842,2
app_8901,1
app_5707,2
app_9709,3
app_3615,3
app_5320,21
app_4233,30
app_1185,14
app_198,16
app_9395,3
app_4750,10
app_6890,1
app_6503,2
app_8732,5
app_688,3
app_2570,4
app_9405,2
app_1060,2
app_5444,15
app_2983,2
app_7740,2
app_4935,9
app_8725,3
app_3302,29
app_3550,3
app_100,5
app_5115,4
app_8532,88
app_4636,7
app_9753,2
app_3154,7
app_1848,2
app_222,5
app_2176,1
app_5070,3
app_6234,52
app_1140,13
app_3539,21
app_9358,1
app_8746,6
app_2640,2
app_5570,5
app_8431,5
app_966,2
app_3517,25
app_1209,11
app_9657,11
app_9708,3
app_2088,55
app_6852,2
app_4306,20
app_4639,15
app_615,17
app_1079,7
app_4734,3
app_5190,2
app_5111,5
app_4980,8
app_2111,67
app_5220,14
app_6411,15
app_9166,3
app_428,1
app_2126,6
app_8423,3
app_3648,7
app_5951,10
app_8801,19
app_9274,24
app_5639,7
app_2654,1
app_5019,9
app_8913,25
app_3142,18
app_5302,24
app_2901,33
app_7460,2
app_3152,15
app_481,2
app_4072,4
app_7850,23
app_4405,13
app_7980,47
app_5993,5
app_6364,2
app_1958,5
app_9740,2
