machineID,machine_include_apps,machine_include_containers
m_607,11,14
m_3634,19,21
m_1758,18,20
m_2666,15,18
m_3058,18,18
m_2820,19,22
m_895,15,20
m_3989,30,30
m_3887,12,16
m_1918,8,12
m_3913,11,15
m_713,18,22
m_2022,9,9
m_1917,18,18
m_1223,9,9
m_1199,25,25
m_835,18,18
m_655,13,19
m_1488,32,32
m_1384,16,23
m_3632,13,15
m_652,30,30
m_3486,21,24
m_3533,29,29
m_808,17,21
m_1900,23,24
m_1279,19,23
m_1135,13,18
m_616,22,23
m_323,27,28
m_37,14,21
m_2343,33,33
m_1240,12,14
m_2449,29,29
m_1269,17,20
m_375,16,18
m_3755,10,13
m_1897,18,21
m_1052,17,22
m_486,22,23
m_2089,15,28
m_2071,17,17
m_2464,15,16
m_3392,15,17
m_1574,17,18
m_12,10,10
m_3549,10,20
m_3356,14,14
m_1708,27,27
m_3959,13,14
m_2848,16,17
m_3240,22,22
m_2925,16,23
m_3504,14,17
m_326,13,14
m_975,15,18
m_2789,16,16
m_324,12,16
m_1921,17,18
m_1001,10,24
m_2507,11,12
m_582,18,18
m_57,10,18
m_1235,19,22
m_3457,17,17
m_453,19,22
m_2067,30,30
m_2852,28,28
m_2060,18,23
m_650,13,13
m_3430,12,17
m_2689,16,18
m_1654,29,29
m_525,12,18
m_1750,21,24
m_2085,10,10
m_2634,10,12
m_1707,18,18
m_2927,11,12
m_1178,31,31
m_2349,14,18
m_1430,19,20
m_1237,17,23
m_3332,14,17
m_937,16,23
m_3696,10,15
m_1790,20,23
m_1378,12,15
m_2861,15,22
m_920,29,29
m_2777,22,22
m_1617,12,20
m_4025,15,16
m_3303,20,22
m_1940,17,19
m_519,21,23
m_2361,21,23
m_2779,27,27
m_3301,31,31
m_542,10,15
m_441,10,10
m_211,11,14
m_1590,16,17
m_2176,15,20
m_2992,16,23
m_3904,16,19
m_3461,10,16
m_688,11,13
m_1272,15,18
m_740,8,10
m_1705,14,27
m_2178,15,18
m_3380,15,15
m_241,27,27
m_3705,18,22
m_3453,18,24
m_1603,22,24
m_2959,30,30
m_906,9,9
m_3739,17,18
m_887,15,29
m_721,22,23
m_3168,15,19
m_1275,19,23
m_1656,20,23
m_986,18,22
m_3924,10,10
m_1072,19,22
m_1496,34,34
m_2143,13,16
m_417,14,18
m_2945,7,7
m_2418,18,20
m_1263,13,14
m_3225,17,18
m_109,32,32
m_3117,11,15
m_3546,16,18
m_55,17,21
m_3372,17,20
m_1436,15,19
m_2972,12,13
m_2713,12,15
m_2513,32,32
m_2780,25,25
m_1692,18,18
m_2872,11,16
m_2448,7,8
m_2292,13,16
m_1033,33,33
m_1545,18,23
m_263,9,9
m_2305,30,30
m_24,29,29
m_3577,7,7
m_3515,21,23
m_1340,6,6
m_480,10,11
m_15,11,13
m_1870,13,16
m_1458,9,9
m_3474,12,16
m_3940,29,30
m_2646,10,14
m_1417,30,31
m_2407,10,15
m_2559,21,23
m_1787,32,32
m_3148,22,23
m_2111,14,16
m_855,9,9
m_3472,15,16
m_1744,8,8
m_1118,9,9
m_2669,6,13
m_3852,28,28
m_3446,30,30
m_2845,24,24
m_3842,18,20
m_3220,22,23
m_68,33,33
m_1703,16,23
m_2061,14,15
m_3525,12,15
m_2901,32,32
m_2186,19,22
m_2575,17,17
m_1215,30,30
m_2782,30,30
m_3951,14,16
m_3331,17,17
m_196,9,12
m_2107,11,14
m_1819,17,22
m_3355,9,9
m_3238,22,23
m_1243,13,23
m_3699,12,32
m_3608,26,27
m_500,30,30
m_4030,28,28
m_3250,32,32
m_3543,19,23
m_1216,16,21
m_357,23,24
m_1668,11,14
m_3585,13,17
m_368,7,7
m_1053,16,23
m_103,9,9
m_3774,27,27
m_1342,14,18
m_167,14,21
m_3433,32,32
m_3015,33,33
m_809,12,16
m_1167,31,31
m_631,20,20
m_2152,14,15
m_1931,24,24
m_3853,31,31
m_491,18,18
m_822,17,19
m_3631,23,23
m_2195,31,31
m_1619,9,10
m_1678,13,15
m_584,29,29
m_1092,11,16
m_1514,19,21
m_2363,28,28
m_2763,19,20
m_1432,29,29
m_2547,20,22
m_3857,19,23
m_76,21,23
m_711,31,31
m_2665,9,11
m_1804,25,25
m_2722,16,17
m_295,11,16
m_139,13,16
m_2070,14,19
m_2919,14,34
m_3252,16,24
m_3809,19,21
m_3927,13,21
m_2069,14,14
m_1132,10,13
m_3902,20,21
m_320,11,12
m_1076,28,28
m_3539,10,11
m_3790,31,31
m_939,10,13
m_2048,9,12
m_264,13,18
m_3660,6,14
m_677,15,19
m_550,12,15
m_2846,14,17
m_1887,30,31
m_859,16,17
m_2812,29,29
m_159,17,20
m_3618,27,27
m_2132,16,31
m_2668,31,31
m_2517,25,25
m_2147,31,31
m_2505,28,28
m_1411,30,30
m_3982,27,27
m_1207,30,30
m_2950,15,17
m_1645,19,22
m_1456,11,13
m_1446,13,16
m_3943,28,28
m_1579,19,21
m_291,8,8
m_683,8,8
m_3645,12,12
m_2252,18,19
m_3500,14,18
m_382,13,13
m_1541,13,16
m_2928,15,20
m_2476,23,23
m_729,19,22
m_240,7,7
m_420,15,18
m_126,31,31
m_1855,25,25
m_270,10,10
m_3849,19,22
m_3622,16,19
m_3597,22,22
m_3367,13,21
m_3353,30,30
m_406,17,19
m_3171,11,20
m_949,14,21
m_1127,15,16
m_3102,32,32
m_541,13,17
m_418,20,23
m_239,15,35
m_664,33,33
m_3205,17,24
m_3891,21,21
m_2055,16,16
m_2684,17,19
m_3952,19,19
m_3384,10,13
m_3460,28,28
m_176,18,21
m_490,19,21
m_2311,11,17
m_2946,21,23
m_2652,21,23
m_2746,10,14
m_811,11,15
m_1197,33,33
m_2165,16,18
m_3382,28,32
m_1364,29,29
m_2324,14,19
m_1141,10,10
m_858,17,17
m_3654,29,29
m_1554,16,18
m_3395,14,19
m_312,13,17
m_347,12,19
m_3685,20,22
m_601,13,16
m_3988,5,14
m_581,17,17
m_1899,29,29
m_2248,26,26
m_250,27,27
m_2399,10,10
m_1954,13,25
m_2110,31,31
m_3445,19,22
m_3133,16,25
m_3112,14,16
m_1354,26,26
m_1597,10,10
m_439,14,17
m_165,34,34
m_998,8,8
m_2340,17,19
m_3574,22,23
m_2190,29,30
m_3493,8,11
m_471,28,28
m_2360,11,16
m_3529,9,9
m_1191,8,8
m_1151,11,14
m_2708,17,19
m_1291,4,4
m_2786,28,28
m_3440,17,22
m_952,22,24
m_1069,21,23
m_3459,17,18
m_3320,20,22
m_1559,16,17
m_908,8,9
m_1751,19,21
m_1064,20,20
m_1698,8,8
m_3401,4,4
m_2607,16,17
m_2817,30,30
m_4018,16,19
m_2334,20,23
m_748,16,16
m_1483,32,32
m_2423,22,24
m_799,18,19
m_1163,23,23
m_2370,22,22
m_3449,4,4
m_3438,17,23
m_3051,16,20
m_1004,10,13
m_2356,19,22
m_3838,29,29
m_484,11,14
m_231,18,19
m_2640,12,14
m_19,28,28
m_3307,15,19
m_3166,30,30
m_1360,17,24
m_2561,19,20
m_2354,8,8
m_2084,30,31
m_3860,10,10
m_3903,21,21
m_570,30,31
m_2600,25,27
m_2445,12,13
m_1057,16,17
m_3656,16,23
m_2934,22,22
m_1087,28,28
m_2405,10,10
m_2180,26,26
m_2508,31,31
m_3869,15,15
m_2627,18,18
m_935,16,16
m_1534,30,30
m_64,19,19
m_2072,21,22
m_3673,13,13
m_353,8,8
m_2082,15,18
m_148,9,9
m_2196,19,23
m_3383,14,22
m_3602,16,21
m_23,30,30
m_2579,16,18
m_899,30,30
m_460,13,17
m_1672,8,24
m_1385,12,13
m_1288,8,8
m_1741,10,10
m_3605,10,10
m_2212,9,10
m_2921,14,17
m_469,11,15
m_2868,10,10
m_181,20,23
m_158,16,18
m_2304,30,30
m_3791,19,19
m_2455,17,22
m_426,20,22
m_1863,13,16
m_2427,14,16
m_2495,13,16
m_1651,17,22
